CNTYVTD,trump,clinton,color
292154,265,133,#faa
292155,0,0,#ddd
292156,166,222,#aaf
292157,0,0,#ddd
292158,58,78,#aaf
292159,61,62,#aaf
292160,39,79,#66f
292161,484,574,#aaf
292162,8,4,#faa
293001,1103,483,#f66
293002,749,589,#faa
293003,30,18,#faa
293004,0,0,#ddd
293005,448,109,#f66
293006,457,311,#faa
293007,947,577,#faa
293008,47,13,#f66
293009,7,0,#f66
293010,120,158,#aaf
293011,475,298,#faa
293012,307,83,#f66
293013,548,544,#faa
293014,179,138,#faa
293015,321,281,#faa
293016,95,38,#f66
293017,731,167,#f66
293018,836,472,#faa
293019,141,169,#aaf
293020,1063,712,#faa
293021,1463,346,#f66
293022,637,429,#faa
293023,719,681,#faa
293024,0,1,#66f
293025,744,399,#faa
293026,696,378,#faa
293027,646,333,#faa
293028,639,474,#faa
293029,419,354,#faa
293030,1039,492,#f66
293031,8,12,#aaf
293032,384,486,#aaf
293033,1081,327,#f66
293034,1689,306,#f66
293035,234,199,#faa
293036,815,765,#faa
293037,857,811,#faa
293038,435,353,#faa
293039,1862,762,#f66
293040,734,509,#faa
293041,325,205,#faa
293042,1993,836,#f66
293043,1053,347,#f66
293044,665,363,#faa
293045,782,295,#f66
293046,654,405,#faa
293047,768,465,#faa
293048,597,363,#faa
293049,1009,481,#f66
293050,470,263,#faa
293051,158,70,#f66
293052,1713,834,#f66
293053,705,368,#faa
293054,484,515,#aaf
293055,2024,520,#f66
293056,469,544,#aaf
293057,231,118,#faa
293058,886,850,#faa
293059,591,315,#faa
293060,660,499,#faa
293061,553,487,#faa
293062,19,14,#faa
293063,676,477,#faa
293064,169,96,#faa
293065,1,1,#ddd
293066,703,522,#faa
293067,661,362,#faa
293068,382,648,#aaf
293069,1101,692,#faa
293070,1162,583,#faa
293071,787,706,#faa
293072,1218,533,#f66
293073,541,433,#faa
293074,1125,634,#faa
293075,1520,554,#f66
293076,796,293,#f66
293077,1021,601,#faa
293078,1193,681,#faa
293079,1292,688,#faa
293080,476,248,#faa
293081,861,527,#faa
293082,808,605,#faa
293083,659,363,#faa
293084,1155,720,#faa
293085,512,263,#faa
293086,734,404,#faa
293087,668,318,#f66
293088,986,377,#f66
293089,1900,628,#f66
293090,1154,683,#faa
293091,497,139,#f66
293092,1481,512,#f66
293093,2045,813,#f66
293094,1071,314,#f66
293095,379,407,#aaf
293097,16,4,#f66
293098,481,310,#faa
293099,1410,887,#faa
293100,967,623,#faa
293101,895,572,#faa
293102,1327,639,#f66
293103,141,156,#aaf
293104,1198,615,#faa
293105,1086,709,#faa
293106,815,344,#f66
293107,374,449,#aaf
293108,695,309,#f66
293109,662,860,#aaf
293110,1020,703,#faa
293111,0,0,#ddd
293112,316,436,#aaf
293113,188,301,#aaf
293114,1241,407,#f66
293115,921,392,#f66
293116,489,482,#faa
293117,1315,681,#faa
293118,342,238,#faa
293119,1245,980,#faa
293120,985,818,#faa
293121,1564,701,#f66
293122,824,495,#faa
293123,85,75,#faa
293124,427,263,#faa
293125,2513,1001,#f66
293126,371,144,#f66
293127,948,800,#faa
293128,20,17,#faa
293129,842,892,#aaf
293130,930,358,#f66
293131,5,1,#f66
293132,303,322,#aaf
293133,0,0,#ddd
293134,505,697,#aaf
293135,266,245,#faa
293136,181,142,#faa
293137,1363,648,#f66
293138,33,11,#f66
293139,310,351,#aaf
293140,86,112,#aaf
293141,379,419,#aaf
293142,55,29,#faa
293143,481,437,#faa
293144,1,0,#f66
293145,784,335,#f66
293146,883,866,#faa
293147,729,653,#faa
293148,350,162,#f66
293149,122,460,#66f
293150,8,11,#aaf
293151,1370,734,#faa
293152,279,329,#aaf
293153,608,389,#faa
293154,804,325,#f66
293155,17,26,#aaf
293156,6,1,#f66
293157,1141,660,#faa
293159,523,661,#aaf
293160,605,339,#faa
293161,666,703,#aaf
293162,372,251,#faa
293163,1119,526,#f66
293164,1794,769,#f66
293165,1558,743,#f66
293166,174,146,#faa
293167,3,5,#aaf
293168,222,156,#faa
293169,47,47,#ddd
293170,0,0,#ddd
293171,0,0,#ddd
293172,142,132,#faa
293173,1349,640,#f66
293174,1723,739,#f66
293175,229,170,#faa
293176,6,1,#f66
293178,0,0,#ddd
293179,0,0,#ddd
293180,335,250,#faa
293181,960,372,#f66
293182,268,198,#faa
293183,10,1,#f66
293184,211,63,#f66
293185,4,3,#faa
293186,0,0,#ddd
293187,0,0,#ddd
293189,238,167,#faa
293190,0,0,#ddd
293191,19,14,#faa
294001,235,450,#aaf
294002,53,302,#66f
294003,48,388,#66f
294004,61,239,#66f
294005,121,510,#66f
294006,35,141,#66f
294007,370,279,#faa
294008,137,165,#aaf
294009,38,246,#66f
294010,18,483,#66f
294011,32,501,#66f
294012,35,269,#66f
294013,84,265,#66f
294014,25,128,#66f
294015,150,539,#66f
294016,217,734,#66f
294017,217,642,#66f
294018,169,453,#66f
294019,306,735,#66f
294020,133,174,#aaf
294021,239,282,#aaf
294022,33,41,#aaf
294023,501,632,#aaf
294024,405,756,#aaf
294025,172,376,#66f
294026,389,998,#66f
294027,218,538,#66f
294028,274,880,#66f
294029,115,775,#66f
294030,8,159,#66f
294031,167,508,#66f
294032,251,524,#66f
294033,546,982,#aaf
294034,272,562,#66f
294035,10,22,#66f
294036,237,1200,#66f
294037,58,760,#66f
294038,749,823,#aaf
294039,20,677,#66f
294040,23,441,#66f
294041,81,1029,#66f
294042,12,45,#66f
294043,55,115,#66f
294044,249,403,#aaf
294045,533,711,#aaf
294046,939,581,#faa
294047,442,712,#aaf
294048,133,557,#66f
294049,305,620,#66f
294050,607,390,#faa
294051,770,450,#faa
294052,697,568,#faa
294053,438,452,#aaf
294054,898,1019,#aaf
294055,509,357,#faa
294056,892,708,#faa
294057,842,295,#f66
294058,743,357,#f66
294059,630,499,#faa
294060,354,600,#aaf
294061,316,639,#66f
294062,105,181,#aaf
294063,154,234,#aaf
294064,598,654,#aaf
294065,465,1148,#66f
294066,622,1130,#aaf
294067,346,386,#aaf
294068,27,23,#faa
294069,399,220,#faa
294070,330,1094,#66f
294071,765,123,#f66
294072,1150,421,#f66
294073,382,297,#faa
294074,479,363,#faa
294075,46,216,#66f
294076,302,678,#66f
294077,336,555,#aaf
294078,573,150,#f66
294079,537,316,#faa
294080,364,637,#aaf
294081,297,107,#f66
294082,101,690,#66f
294083,0,0,#ddd
294084,25,145,#66f
294085,15,2,#f66
294086,139,87,#faa
294087,197,191,#faa
294088,712,1341,#aaf
294089,754,714,#faa
294090,537,454,#faa
294091,201,262,#aaf
294092,594,401,#faa
294093,694,634,#faa
294094,553,463,#faa
294095,579,403,#faa
294096,433,626,#aaf
294097,309,256,#faa
294098,451,394,#faa
294099,292,308,#aaf
294100,158,163,#aaf
294101,305,184,#faa
294102,112,212,#aaf
294103,1,4,#66f
294104,528,459,#faa
294105,662,369,#faa
294106,57,140,#66f
294107,421,349,#faa
294108,915,801,#faa
294109,14,42,#66f
294110,140,361,#66f
294111,15,133,#66f
294112,356,149,#f66
294113,59,336,#66f
294114,7,18,#66f
294115,66,43,#faa
294116,22,11,#faa
294117,173,131,#faa
294118,34,4,#f66
294119,52,108,#66f
294120,29,53,#aaf
294121,70,26,#f66
294122,13,37,#66f
294123,15,38,#66f
294124,165,573,#66f
294125,13,24,#aaf
294126,294,80,#f66
294127,0,6,#66f
294128,20,45,#66f
294129,1,0,#f66
294130,112,102,#faa
294131,53,108,#66f
294132,1005,1602,#aaf
294133,6,6,#ddd
294134,0,0,#ddd
294135,37,20,#faa
294136,114,21,#f66
