CNTYVTD,Trump,Clinton,winner,population,registered,turnout,percentSpanishSurname
2450071,45,12,Trump,118,89,58,4.5
2450072,567,799,Clinton,4088,2497,1432,5.1
2450073,1174,457,Trump,2882,2403,1715,5.7
2450074,1582,263,Trump,4068,2892,1928,6.4
2450075,52,381,Clinton,3408,1142,462,7.4
2450076,82,411,Clinton,2870,1134,501,18
2450077,29,713,Clinton,3087,1515,761,1.8
2450078,423,699,Clinton,3194,1922,1166,7.8
2450079,812,456,Trump,2741,1915,1322,4
2450080,128,26,Trump,269,237,159,9.7
2450081,14,446,Clinton,1285,987,473,3.5
2450082,492,876,Clinton,4926,2520,1415,8.3
2450083,638,122,Trump,1687,1201,813,8.2
2450084,28,701,Clinton,2143,1384,750,3.6
2450085,87,717,Clinton,1666,1301,830,4
2450086,404,345,Trump,2179,1356,785,4.5
2450087,75,557,Clinton,2155,1263,656,5.6
2450088,217,377,Clinton,1992,1226,649,7
2450089,72,173,Clinton,1181,540,256,4.4
2450090,29,31,Clinton,40,44,60,9.1
2450091,396,47,Trump,799,601,463,5.3
2450092,518,246,Trump,1545,1150,799,6.2
2450093,56,297,Clinton,1900,816,371,21.4
2450094,1009,391,Trump,2525,1982,1458,4.2
2450095,201,125,Trump,988,547,334,9.1
2450096,58,227,Clinton,1127,578,291,21.8
2450097,1,0,Trump,0,0,1,0
2450098,143,87,Trump,418,419,248,5.7
2450099,120,270,Clinton,1571,842,422,5.3
2450100,1046,700,Trump,3623,2672,1828,6.4
2450101,1,1,,0,0,2,0
2450102,87,33,Trump,257,164,125,17.7
2450103,14,1,Trump,151,21,16,14.3
2450104,42,13,Trump,73,86,58,7
2450105,27,49,Clinton,167,154,80,7.8
2450106,13,6,Trump,30,24,19,0
2450107,1,1,,4777,1,2,0
2450108,279,45,Trump,737,509,335,6.3
2450109,111,28,Trump,240,202,143,6.4
2470001,66,448,Clinton,1302,1010,546,90
2470002,149,417,Clinton,1337,933,591,87.9
2470003,125,340,Clinton,1315,949,493,89
2470004,87,429,Clinton,1340,1031,552,93.7
2470005,3,1,Trump,6,19,4,78.9
2490001,59,168,Clinton,1030,569,236,78.4
2490002,200,89,Trump,692,506,306,42.9
2490003,539,159,Trump,1563,1163,723,34
2490004,270,357,Clinton,2005,1385,649,81.2
2490005,36,114,Clinton,313,289,154,90
2490006,141,354,Clinton,1976,1149,507,86.9
2490007,792,618,Trump,3934,2555,1459,59.9
2490008,1152,472,Trump,5426,3446,1689,49.4
2490009,110,188,Clinton,1431,798,310,87.6
2490010,242,764,Clinton,3958,2492,1040,90.9
2490011,141,261,Clinton,1357,977,419,84.9
2490012,379,594,Clinton,3779,2320,1010,77.5
2490013,41,185,Clinton,800,631,234,88.4
2490014,71,66,Trump,285,229,139,73.4
2490015,331,440,Clinton,2834,1696,806,78.8
2490016,91,293,Clinton,1492,1063,400,90.1
2490017,331,506,Clinton,2267,1663,880,82.2
2490018,68,138,Clinton,725,455,213,82
2490019,126,51,Trump,567,316,182,47.2
2490020,47,286,Clinton,1210,634,341,89.6
2490022,244,585,Clinton,3194,2175,858,89.2
2510001,355,70,Trump,935,620,440,9
2510002,2291,495,Trump,8085,4790,2900,10
2510003,2025,508,Trump,5033,3944,2679,10.1
2510004,3109,830,Trump,10398,6774,4226,7.6
2510005,2068,456,Trump,5007,3865,2670,7.7
2510006,263,32,Trump,451,390,308,1.8
2510007,3156,725,Trump,6846,5725,4098,6.2
2510008,2321,1002,Trump,12663,6211,3501,17.7
2510009,553,95,Trump,1464,984,663,5.2
2510010,1461,428,Trump,6458,3520,1977,12.6
2510011,1973,403,Trump,5209,3649,2508,6.6
2510012,1431,305,Trump,3540,2641,1820,7.5
2510013,947,200,Trump,2834,1877,1194,7.1
2510014,243,20,Trump,682,418,274,3.6
2510015,839,137,Trump,2088,1440,1015,7.4
2510016,277,63,Trump,856,542,357,14.4
2510017,1331,430,Trump,7379,3400,1830,14.6
2510018,1712,520,Trump,7069,3850,2326,11.9
2510019,2892,678,Trump,7867,5326,3771,6.6
2510020,350,258,Trump,3550,1453,636,22.2
2510021,780,145,Trump,2276,1468,960,7.1
2510022,1538,619,Trump,8093,4237,2316,17.9
2510023,1193,197,Trump,3491,2191,1432,5.4
2510024,617,141,Trump,2131,1309,782,6.6
2510025,603,173,Trump,3519,1488,818,12.2
2510026,757,112,Trump,1909,1302,896,6.6
2510027,1197,187,Trump,3134,2075,1431,7.3
2510028,943,200,Trump,2572,1827,1179,5.6
2510029,584,94,Trump,1420,1086,707,7.1
2510030,537,84,Trump,1670,997,640,6
2510031,611,99,Trump,1951,1113,726,8.4
2510032,1437,337,Trump,4952,2961,1847,10.2
2510033,576,100,Trump,2150,1161,710,9.2
2510034,1027,240,Trump,3892,2212,1347,6.4
2510035,2086,406,Trump,5888,3888,2601,6.3
2510036,299,199,Trump,3472,1142,517,29.1
2530101,658,137,Trump,2386,1409,821,21.5
2530102,54,40,Trump,402,252,98,35.3
2530103,203,78,Trump,1105,667,298,43.3
2530201,753,236,Trump,2981,1802,1038,21.8
2530202,147,27,Trump,523,323,184,6.2
2530203,161,17,Trump,360,273,184,9.2
2530301,158,15,Trump,336,264,176,6.1
2530302,568,66,Trump,6410,1087,652,7.4
2530303,693,77,Trump,1708,1189,792,5.3
2530401,792,101,Trump,2030,1475,932,5.9
2530402,632,142,Trump,1961,1359,815,21.4
2550001,402,258,Trump,2111,1503,696,58.2
2550002,103,11,Trump,209,170,118,5.3
2550003,101,3,Trump,278,145,107,9.7
2550004,400,187,Trump,4673,1151,618,48.3
2550005,250,137,Trump,1328,883,403,59.9
2550006,179,7,Trump,289,244,188,4.1
2550007,403,42,Trump,906,640,461,9.4
2550008,105,22,Trump,246,188,128,30.9
2550009,122,27,Trump,257,247,151,25.9
2550010,165,21,Trump,388,259,191,9.3
2550011,257,73,Trump,1044,646,353,42.3
2550012,267,94,Trump,1359,703,371,39.5
2550013,18,5,Trump,51,46,24,23.9
2550014,166,240,Clinton,1497,993,422,72.9
2550015,27,18,Trump,188,116,50,57.8
2570001,1059,487,Trump,6207,3140,1639,20.9
2570002,587,131,Trump,2492,1309,747,7.7
2570003,1982,611,Trump,5111,3882,2711,9.2
2570004,2054,544,Trump,5939,4032,2694,7.9
2570005,340,807,Clinton,3981,2469,1186,7.5
2570006,964,207,Trump,2859,1921,1224,4.9
