CNTYVTD,metersFromMexico
4530360,302242
4530361,285893
4530362,303254
4530363,304812
4530364,312183
4530365,292389
4530366,301560
4530367,297271
4530368,295430
4530369,306244
4530370,299797
4530371,289248
4530372,302297
4530373,292214
3030142,402889
3030014,408826
3030063,414806
3030016,408927
3030030,406003
3030135,412936
3030117,411556
3030062,403719
3030118,405358
3030029,405449
3030025,407493
3030058,411525
3030064,415997
3030026,404298
3030004,412298
3030049,410531
3030050,410663
3030003,412128
3030043,422343
3030044,418383
3030060,405080
3030041,417120
3030057,407374
3030069,418934
3030020,406210
3030054,402228
3030045,432773
3030047,410139
3030059,410065
3030027,405514
3030066,402198
3030072,409924
3030076,409414
3030129,403494
3030078,401899
3030092,407695
3030148,412319
3030110,398723
3030009,410252
3030111,400031
3030138,398345
3030152,411813
3030052,399081
3030056,399400
3030151,414713
3030109,397557
3030155,388703
3030006,412566
3030121,398304
3030153,412875
3030140,400276
3030033,389558
3030154,400132
3030046,418197
3550029,180957
3550016,177703
3550114,183827
3550121,186762
3550004,186885
3550095,188008
3550063,190467
3550098,188931
3550106,185093
3550112,184893
3550119,184444
3550005,189074
3550094,188186
3550122,179135
3550117,178491
3550007,195413
3550079,194265
3550052,194101
3550099,194570
3550082,193756
3550091,185873
3550008,182635
3550111,198604
3550010,165569
3550023,191447
3550012,172031
3550025,157889
3550011,153587
3550036,160037
3550105,188262
3550108,176320
3550027,172275
3550055,191584
3550013,191677
3550014,160331
3550022,168816
3550102,163071
3550015,180821
3550034,188336
3550024,189148
3550026,178817
3550120,186563
3550017,185718
3550090,186964
3550040,175349
3550081,178557
3550042,192726
3550058,192475
3550021,198025
3550093,186283
3550020,185370
3550118,185342
3550037,176068
3550044,193481
3550060,192045
3550061,191914
3550075,190962
3550078,189677
3550067,182491
3550047,194719
3550031,193885
3550070,185688
3550032,184058
3550124,183657
3550100,192338
3550035,190952
3550054,191546
3550104,190306
3550085,193223
550101,306752
550102,301421
550103,306906
550104,302175
550105,310656
550107,311605
550108,308987
550109,311807
550110,310168
550111,306295
550112,306879
550113,307498
550114,308218
550115,308270
550116,308285
550117,308273
550118,295474
550201,290783
550202,292563
550203,295142
550204,306724
550205,309079
550206,291130
550301,283727
550302,286342
550303,296386
550305,293001
550306,309031
550307,316706
550400,310180
550401,310600
550402,308803
550404,315359
550405,313539
550407,311503
550408,311336
550409,312315
550410,312696
550412,310300
570001,296899
570002,296122
570003,296988
570004,294644
570005,281760
570006,283831
570007,295729
570008,295057
570009,297678
570010,297678
570011,297798
570012,294718
570013,296189
570014,296961
570015,297756
570016,298203
570017,299393
570018,296161
570019,286384
570020,295409
570021,290787
570022,289828
570023,276721
570024,230172
570025,259171
590001,332327
590002,326019
590003,342085
590004,317804
590005,346141
590006,328819
590007,306449
610001,9374
610002,25310
610003,11716
610004,3545
610005,1636
610006,0
610007,0
610008,1098
610009,0
610010,0
610011,0
610012,594
610013,419
610014,0
610015,1650
610016,0
610017,0
610018,5514
610019,10265
610020,23609
610021,11554
610022,5244
610023,3566
610024,0
610025,0
610026,6210
610027,18708
610028,18413
610029,8283
610030,15704
610031,16614
610032,17242
610033,17143
610034,17937
610035,17802
610036,13004
610037,578
610038,958
610039,15621
610040,10372
610041,15007
610042,17452
610043,7512
610044,14309
610045,86
610046,2577
610047,2230
610048,64
610049,2106
610050,7354
610051,0
610052,9898
610054,4623
610055,8908
610056,18849
610057,21868
610058,10631
610059,12138
610060,1657
610061,3391
610062,0
610063,2877
610064,13782
610065,7932
610066,14726
610067,13935
610068,5406
610069,212
610070,1462
610071,2864
610072,5414
610073,4273
610074,6960
610075,0
610076,3410
610077,0
610078,18786
610079,7781
610080,14360
610081,19308
610082,3751
610083,10672
610084,18916
610085,9661
610086,5210
610087,19737
610095,8245
610096,2566
610097,1080
610098,1526
610099,19393
610100,5469
610101,4714
610102,6193
610103,14248
610104,15949
610105,5610
610106,5071
610107,2807
610108,5657
610109,9801
631001,681659
632002,678311
633003,673436
634004,692836
650101,594959
650102,611374
650103,611031
650201,590200
650301,608944
650302,623340
650401,611790
650402,634693
670001,723747
670002,739435
670004,742866
670005,709768
670006,721183
670007,714413
670009,728504
670011,742978
670012,765851
670014,760426
670015,748744
670016,767377
670017,752531
670018,761546
670019,750421
670021,754064
67013T,755269
67020E,751350
690101,490040
690105,503944
690201,507215
690206,465826
690301,486379
690307,494042
690401,513678
690408,505940
710001,488615
710002,494128
710003,455183
710004,480477
710005,446934
710006,479260
710007,498612
710008,474906
710009,473821
710010,480852
710011,472000
710012,466498
710013,477477
710014,482671
1133051,542311
1133052,543615
1133053,530771
1133054,534241
1133055,535992
1133056,537741
1133057,537110
1133058,538220
1133059,540351
1133060,539566
1133061,542054
1133062,540805
1133063,531222
1133064,534697
1133065,535948
1133066,535568
1133067,529781
1133068,536612
1133069,540154
1133070,541206
1133071,542418
1133072,544643
1133073,540414
1133074,534752
1133075,538516
1133076,520198
1133077,522162
1133078,523837
1133079,555733
1133080,553696
1133081,546918
1133082,545396
1133084,543029
1133086,547098
1133087,549968
1133088,535342
1133089,546362
1133091,547782
1133092,532043
1133093,552729
1133094,544156
1133095,544885
1133096,542190
1133097,540497
1133098,541369
1133099,539812
1133100,522194
1133101,523556
1133102,519630
1133103,521631
1133104,521941
1133105,522549
1133106,519105
1133107,524246
1133108,516050
1133109,513975
1133110,525246
1133111,521926
1133112,513887
1133113,515496
1133200,524651
1133201,525291
1133202,525969
1133203,526361
1133204,527589
1133205,528054
1133206,525920
1133207,527497
1133208,528821
1133209,527511
1133210,528595
1133211,529855
1133300,564194
1133301,564191
1133302,562744
1133303,561524
1133304,562374
1133305,561371
1133306,560469
1133307,560002
1133308,557264
1133309,558345
1133310,559628
1133311,560576
1133312,562344
1133313,561367
1133314,557850
1133315,561278
1133316,561067
1133317,557846
1133318,560734
1133400,557629
1133401,554884
1133402,554941
1133404,555368
1133405,555536
1133406,557086
1133407,553101
1133408,554228
1133409,552961
1133410,556016
1133411,554310
1133500,562939
1133501,568100
1133600,530822
1133601,527724
1133602,529148
1133603,529604
1133604,530260
1133605,531370
1133606,532868
1133607,525734
1133608,526852
1133609,527971
1133610,529050
1133611,530229
1133612,530751
1133613,529372
1133614,529129
1133615,529793
1133616,527456
1133617,528289
1133618,525723
3550041,193056
3550062,192619
3550083,192276
3550057,191198
3550043,191640
3550056,190710
3550076,193215
3550077,192473
3550045,193690
3550046,194206
3550048,187570
3550084,187166
3550049,197989
3550033,194476
3550001,194315
3550086,191791
3550050,191240
3550066,190162
3550059,191774
3550051,193333
3550030,195889
3550038,195900
3550103,194401
3550039,193423
3550109,187670
3550002,188495
3550053,190429
3550068,190756
3550096,189981
3550097,189533
3550087,189190
3550115,183663
3550069,189417
3550064,189697
3550065,188700
3550116,183551
3550003,181835
3550088,182889
3550072,188416
3550089,186978
3550071,188464
3550073,189251
3550074,190109
3550080,189561
3550113,189419
3550123,195989
3550107,194111
3550009,197776
3550110,197528
3550028,187555
3550101,192659
3550019,177572
3550092A,188301
3550092B,188138
3550127,167381
3550006,181079
3550126,178863
3550018,172809
3550125,178905
4130001,111378
4130002,130917
4130003,142632
4130004,132538
4690015,280099
4690004,280963
4690005,281416
4690032,282728
4690007,282948
4690006,284155
4690030,283730
4690026,286821
4690028,309768
4690010,284488
4690029,286040
4690027,318252
4690012,298115
4690013,291152
4690016,259783
4690034,280786
4690011,286295
4690031,284609
4690001,280342
4690003,278766
4690002,279391
4690014,298888
4690017,283865
4690019,284071
4690018,261197
4690023,274497
4690025,284383
4690021,283488
4690022,257943
4690033,280610
4690009,281837
4690035,276754
4690008,281805
4690020,270874
4730105,441435
4730102,435284
4730101,428298
4730103,460702
4730309,470322
4730310,465072
4730311,449162
4730104,461827
4730312,454603
4730206,475530
4730208,463557
4730414,441274
4730415,435516
4730416,430910
4730313,446126
4730420A,439580
4730417,435168
4730419,443467
4730418,436458
4530374,308027
4530375,303311
4530401,319412
4530402,310623
4530403,301758
4530404,303796
4530405,308026
4530406,300682
4530407,314238
4530408,301422
4530409,311946
4530410,308920
4530411,305053
4530412,309627
4530413,307258
4530414,303059
4530415,305054
4530416,304255
4530417,305659
4530418,307412
4530419,306378
4530420,313928
4530421,315170
4530422,314485
4530423,317186
4530424,312988
4530425,309705
4530426,317637
4530427,318992
4530428,316470
4530429,316034
4530430,311290
4530431,314115
4530432,318015
4530433,312928
4530434,317907
4530435,303342
4530436,321463
4530437,314311
4530438,316623
4530439,316784
4530440,313070
4530441,310305
4530442,312405
4530443,309630
4530444,320845
4530446,310221
4530447,307905
4530448,308591
4530450,309585
4530451,307808
4530452,311206
4530454,309047
4530458,306354
4530460,307759
4530461,310827
4530463,305888
4550001,582294
4550002,575008
4550003,570987
4550004,583783
4550005,574811
4550006,590437
4550007,601943
4550008,613583
4550009,605945
