PrecinctKey,color
Maricopa 0091,#66f
Maricopa 0640,#f66
Maricopa 0292,#faa
Maricopa 0648,#f66
Maricopa 0070,#66f
Maricopa 0157,#66f
Maricopa 0533,#66f
Maricopa 0086,#aaf
Maricopa 0468,#66f
Maricopa 0221,#aaf
Maricopa 0524,#66f
Maricopa 0700,#faa
Maricopa 0202,#faa
Maricopa 0234,#aaf
Maricopa 0326,#f66
Maricopa 0388,#faa
Maricopa 0421,#66f
Maricopa 0042,#faa
Maricopa 0632,#aaf
Maricopa 0502,#faa
Maricopa 0597,#66f
Maricopa 0213,#faa
Maricopa 0358,#faa
Maricopa 0276,#f66
Maricopa 0289,#f66
Maricopa 0671,#aaf
Maricopa 0653,#faa
Maricopa 0488,#faa
Maricopa 0631,#faa
Maricopa 0038,#66f
Maricopa 0181,#66f
Maricopa 0126,#f66
Maricopa 0334,#faa
Maricopa 0424,#66f
Maricopa 0395,#f66
Maricopa 0683,#faa
Maricopa 0641,#faa
Maricopa 0441,#faa
Maricopa 0123,#faa
Maricopa 0600,#faa
Maricopa 0710,#aaf
Maricopa 0136,#aaf
Maricopa 0010,#aaf
Maricopa 0141,#faa
Maricopa 0520,#faa
Maricopa 0661,#faa
Maricopa 0610,#66f
Maricopa 0120,#66f
Maricopa 0435,#aaf
Maricopa 0135,#aaf
Maricopa 0720,#66f
Maricopa 0380,#66f
Maricopa 0681,#faa
Maricopa 0188,#faa
Maricopa 0549,#66f
Maricopa 0102,#aaf
Maricopa 0257,#faa
Maricopa 0072,#aaf
Maricopa 0115,#aaf
Maricopa 0517,#aaf
Maricopa 0530,#66f
Maricopa 0556,#aaf
Maricopa 0499,#faa
Maricopa 0455,#aaf
Maricopa 0246,#aaf
Maricopa 0095,#66f
Maricopa 0666,#aaf
Maricopa 0376,#66f
Maricopa 0273,#66f
Maricopa 0159,#faa
Maricopa 0568,#66f
Maricopa 0275,#aaf
Maricopa 0605,#faa
Maricopa 0459,#faa
Maricopa 0309,#faa
Maricopa 0037,#aaf
Maricopa 0646,#faa
Maricopa 0449,#aaf
Maricopa 0454,#aaf
Maricopa 0471,#faa
Maricopa 0305,#66f
Maricopa 0525,#f66
Maricopa 0706,#faa
Maricopa 0585,#faa
Maricopa 0393,#aaf
Maricopa 0026,#aaf
Maricopa 0491,#f66
Maricopa 0249,#faa
Maricopa 0340,#66f
Maricopa 0116,#faa
Maricopa 0723,#aaf
Maricopa 0523,#faa
Maricopa 0514,#faa
Maricopa 0016,#faa
Maricopa 0199,#aaf
Maricopa 0566,#aaf
Maricopa 0619,#faa
Maricopa 0630,#faa
Maricopa 0439,#aaf
Maricopa 0466,#faa
Maricopa 0144,#f66
Maricopa 0628,#faa
Maricopa 0250,#faa
Maricopa 0105,#faa
Maricopa 0204,#66f
Maricopa 0607,#faa
Maricopa 0149,#66f
Maricopa 0496,#faa
Maricopa 0580,#faa
Maricopa 0066,#faa
Maricopa 0637,#faa
Maricopa 0535,#66f
Maricopa 0461,#aaf
Maricopa 0269,#faa
Maricopa 0526,#f66
Maricopa 0248,#aaf
Maricopa 0643,#faa
Maricopa 0266,#f66
Maricopa 0143,#faa
Maricopa 0302,#66f
Maricopa 0114,#aaf
Maricopa 0193,#faa
Maricopa 0402,#66f
Maricopa 0416,#66f
Maricopa 0039,#faa
Maricopa 0214,#66f
Maricopa 0192,#faa
Maricopa 0565,#faa
Maricopa 0254,#aaf
Maricopa 0403,#aaf
Maricopa 0702,#aaf
Maricopa 0574,#aaf
Maricopa 0494,#faa
Maricopa 0323,#66f
Maricopa 0430,#aaf
Maricopa 0701,#66f
Maricopa 0228,#faa
Maricopa 0473,#faa
Maricopa 0295,#faa
Maricopa 0588,#faa
Maricopa 0382,#faa
Maricopa 0724,#f66
Maricopa 0583,#66f
Maricopa 0469,#66f
